# 网络用语与聊天短语候选表（起草，待维护者审）。2026-09-22，收词标准、次数档位与接入命令见同目录 README.md。
# 来源：起草者自身的中文互联网知识，没有抄任何外部词表，无许可约束；每条都对着 dict.tsv / lm-unigram.tsv / phrases.tsv / common_words.tsv / domain_words.tsv 标了现状。
# 建议次数与 dict.tsv 词频同一尺度。汉字词三档：低 20、中 200、高 2000；中英混杂另按 mixed_words.tsv 的尺度：低 300、中 2000、高 8000。
# gaps 合成次数高于档位值时取合成次数（与 common_words.tsv 的做法一致）。词库现状为「已有」的默认不进（supplement 会跳过已有词），保留在表里供比对。
词	拼音	类别	说明	建议次数	词库现状
发疯文学	fa feng wen xue	slang	故意胡言乱语的吐槽体	200	缺（成分拆不出，无合成次数）
发癫	fa dian	slang	行为夸张不正常	2000	缺（合成 167）
心态崩了	xin tai beng le	slang	情绪撑不住了	2000	缺（合成 70）
心态爆炸	xin tai bao zha	slang	情绪彻底失控	200	缺（合成 141）
麻了	ma le	slang	无语到没有感觉	2000	缺（合成 674）
人麻了	ren ma le	slang	被整得没脾气了	2000	缺（成分拆不出，无合成次数）
佛系	fo xi	slang	不争不抢随缘	-	已有（词库 1100，模型 1124）
咸鱼	xian yu	slang	没追求混日子的人	-	已有（词库 3719，模型 3980）
躺赢	tang ying	slang	不费力就赢了	-	已有（词库 205，模型 206）
摸鱼	mo yu	slang	上班偷懒	-	已有（词库 332，模型 404）
划水	hua shui	slang	敷衍了事不出力	-	已有（词库 196，模型 295）
卷王	juan wang	slang	最能内卷的人	200	缺（成分拆不出，无合成次数）
卷不动	juan bu dong	slang	没力气再竞争了	200	缺（成分拆不出，无合成次数）
意难平	yi nan ping	slang	心里一直放不下	200	缺（成分拆不出，无合成次数）
上岸	shang an	slang	考试考公考研成功	-	已有（词库 1466，模型 3214）
寄了	ji le	slang	完了没戏了	2000	缺（合成 1123）
润了	run le	slang	跑了或移民了	200	缺（合成 23）
裂开	lie kai	slang	心态碎了	-	已有（词库 342，模型 759）
我裂开	wo lie kai	slang	我崩溃了	200	缺（成分拆不出，无合成次数）
血压升高	xue ya sheng gao	slang	被气到	200	缺（合成 81）
治愈系	zhi yu xi	slang	让人放松舒服的风格	-	已有（词库 233，模型 363，来自补充常用词）
电子榨菜	dian zi zha cai	slang	吃饭时配着看的视频	200	缺（成分拆不出，无合成次数）
报复性熬夜	bao fu xing ao ye	slang	白天太累晚上不肯睡	200	缺（成分拆不出，无合成次数）
早八	zao ba	slang	早上八点的课或班	200	缺（合成 69）
社畜	she chu	slang	被工作压榨的上班族	-	已有（词库 24，模型 112，来自补充常用词）
钝感力	dun gan li	slang	不被小事影响的能力	20	缺（成分拆不出，无合成次数）
无语子	wu yu zi	slang	无语的卖萌说法	20	缺（成分拆不出，无合成次数）
丧文化	sang wen hua	slang	消极颓废的风气	64	缺（合成 64）
情绪价值	qing xu jia zhi	slang	让人心里舒服的作用	2000	缺（合成 17）
情绪稳定	qing xu wen ding	slang	不轻易上头发火	200	缺（合成 101）
边界感	bian jie gan	slang	与人相处的分寸	200	缺（成分拆不出，无合成次数）
仪式感	yi shi gan	slang	把小事办得有讲究	2000	缺（合成 420）
氛围感	fen wei gan	slang	整体感觉很到位	2000	缺（成分拆不出，无合成次数）
高级感	gao ji gan	slang	看上去有档次	200	缺（合成 61）
反差	fan cha	slang	前后差别很大	-	已有（词库 756，模型 1246）
多巴胺	duo ba an	slang	让人快乐的刺激	-	已有（词库 146，模型 1247）
戒断反应	jie duan fan ying	slang	停掉之后特别难受	20	缺（合成 1）
玻璃心	bo li xin	slang	太容易受伤	-	已有（词库 1348，模型 1429，来自补充常用词）
心眼子	xin yan zi	slang	心思多会算计	200	缺（合成 16）
求生欲	qiu sheng yu	slang	为免翻车的补救话	418	缺（合成 418）
玄学	xuan xue	slang	说不清道理的运气	-	已有（词库 380，模型 923）
锦鲤	jin li	slang	好运的象征	-	已有（词库 1561，模型 1735）
接好运	jie hao yun	slang	转发求好运	200	缺（合成 18）
本命	ben ming	slang	最喜欢的那一个	-	已有（词库 1550，模型 1695）
祛魅	qu mei	slang	不再盲目崇拜	200	缺（合成 48）
离谱	li pu	slang	荒唐得说不通	-	已有（词库 556，模型 821）
离大谱	li da pu	slang	特别离谱	200	缺（成分拆不出，无合成次数）
逆天	ni tian	slang	夸张到不可思议	-	已有（词库 1616，模型 1789）
抽象	chou xiang	slang	行为让人看不懂	-	已有（词库 1028，模型 5329）
搞抽象	gao chou xiang	slang	故意做让人看不懂的事	200	缺（成分拆不出，无合成次数）
拿捏	na nie	slang	完全掌控住	-	已有（词库 191，模型 349）
格局	ge ju	slang	眼界和胸怀	-	已有（词库 1166，模型 4513）
格局小了	ge ju xiao le	slang	想得太窄	200	缺（成分拆不出，无合成次数）
格局打开	ge ju da kai	slang	换个大点的思路	200	缺（成分拆不出，无合成次数）
显眼包	xian yan bao	slang	爱出风头又可爱的人	200	缺（成分拆不出，无合成次数）
绝绝子	jue jue zi	slang	好到极点	200	缺（成分拆不出，无合成次数）
服了	fu le	slang	无奈又佩服	-	已有（词库 3752，模型 3846，来自短语层）
我服了	wo fu le	slang	彻底无话可说	200	缺（合成 156）
太懂了	tai dong le	slang	说得太对了	246	缺（合成 246）
典中典	dian zhong dian	slang	老套到成经典的桥段	200	缺（成分拆不出，无合成次数）
急了	ji le	slang	被说中而恼羞	1048	缺（合成 1048）
笑死	xiao si	slang	太好笑了	-	已有（词库 15265，模型 15341）
笑死我了	xiao si wo le	slang	实在太好笑	-	已有（词库 74，模型 72，来自短语层）
笑不活了	xiao bu huo le	slang	笑到不行	200	缺（成分拆不出，无合成次数）
尊嘟假嘟	zun du jia du	slang	真的假的卖萌说法	200	缺（成分拆不出，无合成次数）
绝了	jue le	slang	好得没话说	-	已有（词库 2170，模型 2210，来自短语层）
爱了爱了	ai le ai le	slang	太喜欢了	200	缺（成分拆不出，无合成次数）
泪目	lei mu	slang	感动得想哭	-	已有（词库 803，模型 810）
狂喜	kuang xi	slang	高兴到失态	-	已有（词库 121，模型 259）
狠狠共情	hen hen gong qing	slang	特别能体会对方	200	缺（成分拆不出，无合成次数）
大冤种	da yuan zhong	slang	吃亏受委屈的人	200	缺（成分拆不出，无合成次数）
冤种	yuan zhong	slang	傻乎乎吃亏的人	200	缺（成分拆不出，无合成次数）
整不会了	zheng bu hui le	slang	被搞得不知所措	200	缺（成分拆不出，无合成次数）
给我整不会了	gei wo zheng bu hui le	slang	被弄得彻底懵了	200	缺（成分拆不出，无合成次数）
好家伙	hao jia huo	slang	表示惊讶	-	已有（词库 307，模型 366）
好好好	hao hao hao	slang	无奈接受或阴阳	6362	缺（合成 6362）
一整个大无语	yi zheng ge da wu yu	slang	非常无语	200	缺（成分拆不出，无合成次数）
大无语	da wu yu	slang	太无语了	200	缺（成分拆不出，无合成次数）
细思极恐	xi si ji kong	slang	想深了很可怕	-	已有（词库 480，模型 483）
不明觉厉	bu ming jue li	slang	不懂但觉得厉害	-	已有（词库 298，模型 301，来自补充常用词）
神仙打架	shen xian da jia	slang	高手之间的较量	200	缺（合成 43）
人间清醒	ren jian qing xing	slang	看得明白不上头	200	缺（成分拆不出，无合成次数）
封神	feng shen	slang	被奉为顶级	-	已有（词库 231，模型 1658）
名场面	ming chang mian	slang	让人记住的经典画面	200	缺（合成 84）
前方高能	qian fang gao neng	slang	提醒精彩或吓人内容	200	缺（合成 40）
智商税	zhi shang shui	slang	为无知多花的钱	2000	缺（成分拆不出，无合成次数）
杀疯了	sha feng le	slang	表现极其出色	200	缺（成分拆不出，无合成次数）
太顶了	tai ding le	slang	太强太震撼	200	缺（成分拆不出，无合成次数）
顶不住	ding bu zhu	slang	受不了了	200	缺（成分拆不出，无合成次数）
遭不住	zao bu zhu	slang	招架不住	200	缺（合成 4）
就这	jiu zhe	slang	不过如此的轻视	-	已有（词库 4512，模型 4786，来自短语层）
含金量	han jin liang	slang	实际价值有多高	-	已有（词库 144，模型 267）
这波	zhe bo	slang	这一次这一下	2000	缺（合成 1429）
属于是	shu yu shi	slang	算是妥妥的	2000	缺（合成 75）
纯纯的	chun chun de	slang	完完全全是	200	缺（合成 36）
妥妥的	tuo tuo de	slang	十拿九稳	-	已有（词库 1198，模型 930，来自短语层）
问题不大	wen ti bu da	chat	表示影响有限	2000	缺（合成 7）
稳了	wen le	slang	有把握了	652	缺（合成 652）
神操作	shen cao zuo	slang	让人看不懂的操作	200	缺（成分拆不出，无合成次数）
迷惑行为	mi huo xing wei	slang	让人不解的举动	200	缺（成分拆不出，无合成次数）
辣眼睛	la yan jing	slang	难看到不想看	-	已有（词库 1293，模型 1294，来自补充常用词）
土味	tu wei	slang	又俗又有乡土气	-	已有（词库 307，模型 334）
土味情话	tu wei qing hua	slang	肉麻又好笑的情话	200	缺（合成 108）
油腻	you ni	slang	做作讨人厌，贬义	-	已有（词库 2301，模型 2488）
爹味	die wei	slang	爱说教的姿态，贬义	200	缺（成分拆不出，无合成次数）
爆改	bao gai	slang	大幅度改造	200	缺（成分拆不出，无合成次数）
颜值	yan zhi	slang	长相好看程度	-	已有（词库 11212，模型 11302）
天花板	tian hua ban	slang	某领域的顶点	-	已有（词库 628，模型 2525）
颜值天花板	yan zhi tian hua ban	slang	长相最好看的	200	缺（成分拆不出，无合成次数）
遥遥领先	yao yao ling xian	slang	调侃自夸领先	-	已有（词库 41，模型 242）
有内味了	you nei wei le	slang	感觉对了	200	缺（成分拆不出，无合成次数）
那味儿	na wei er	slang	那种熟悉的感觉	200	缺（合成 35）
上价值	shang jia zhi	slang	硬往深刻上拔	200	缺（合成 26）
硬核	ying he	slang	又强又实在	2000	缺（合成 498）
硬控	ying kong	slang	牢牢吸引住注意力	200	缺（合成 30）
拉胯	la kua	slang	掉链子不给力	200	缺（成分拆不出，无合成次数）
翻车	fan che	slang	搞砸了出丑	-	已有（词库 806，模型 1280）
打脸	da lian	slang	被事实证明说错了	-	已有（词库 2757，模型 2839）
实锤	shi chui	slang	有确凿证据	-	已有（词库 497，模型 503）
爆锤	bao chui	slang	狠狠教训	200	缺（成分拆不出，无合成次数）
求锤得锤	qiu chui de chui	slang	一要证据就来了	200	缺（成分拆不出，无合成次数）
真香	zhen xiang	slang	打脸后又说好	-	已有（词库 240，模型 288，来自补充常用词）
真香定律	zhen xiang ding lv	slang	先嫌弃后真香	200	缺（成分拆不出，无合成次数）
血亏	xue kui	slang	亏大了	200	缺（合成 78）
血赚	xue zhuan	slang	赚大了	200	缺（合成 33）
入股不亏	ru gu bu kui	slang	加入准没错	200	缺（成分拆不出，无合成次数）
不愧是你	bu kui shi ni	slang	调侃意料之中	200	缺（合成 22）
合理怀疑	he li huai yi	slang	我有理由猜测	200	缺（合成 93）
爷青回	ye qing hui	slang	青春回忆又回来了	200	缺（成分拆不出，无合成次数）
爷青结	ye qing jie	slang	青春回忆结束了	20	缺（成分拆不出，无合成次数）
雀食	que shi	slang	确实的谐音	200	缺（成分拆不出，无合成次数）
耗子尾汁	hao zi wei zhi	slang	好自为之的谐音	20	缺（成分拆不出，无合成次数）
夺笋	duo sun	slang	太损了的谐音	20	缺（成分拆不出，无合成次数）
废话文学	fei hua wen xue	slang	说了等于没说的话	200	缺（成分拆不出，无合成次数）
听君一席话	ting jun yi xi hua	slang	调侃对方说了废话	20	缺（成分拆不出，无合成次数）
有一说一	you yi shuo yi	slang	实话实说	2000	缺（成分拆不出，无合成次数）
懂的都懂	dong de dou dong	slang	心照不宣	200	缺（成分拆不出，无合成次数）
不懂就问	bu dong jiu wen	slang	直接提问的开场	200	缺（成分拆不出，无合成次数）
阴阳怪气	yin yang guai qi	slang	话里带刺地讽刺	-	已有（词库 443，模型 468）
彩虹屁	cai hong pi	slang	花式吹捧	200	缺（合成 24）
夸夸	kua kua	slang	互相夸奖	1501	缺（合成 1501）
双标	shuang biao	slang	同事不同标准	-	已有（词库 575，模型 649）
杠精	gang jing	slang	专爱抬杠的人	-	已有（词库 806，模型 808）
键盘侠	jian pan xia	slang	网上逞强骂人的人	-	已有（词库 1705，模型 1712，来自补充常用词）
喷子	pen zi	slang	爱骂人的网友	200	缺（合成 32）
奇葩	qi pa	slang	与众不同得离谱	-	已有（词库 6965，模型 7264）
细品	xi pin	slang	仔细体会	200	缺（合成 71）
划重点	hua zhong dian	slang	强调关键部分	-	已有（词库 508，模型 509，来自补充常用词）
有点东西	you dian dong xi	slang	还挺有本事	200	缺（合成 81）
没苦硬吃	mei ku ying chi	slang	非要自找罪受	200	缺（成分拆不出，无合成次数）
没福硬享	mei fu ying xiang	slang	硬着头皮享福	20	缺（成分拆不出，无合成次数）
泼天富贵	po tian fu gui	slang	天上掉下的好运	200	缺（成分拆不出，无合成次数）
上强度	shang qiang du	slang	加大力度玩得更猛	200	缺（成分拆不出，无合成次数）
吐槽	tu cao	slang	挑毛病开玩笑	-	已有（词库 7451，模型 8592）
卖萌	mai meng	slang	故意装可爱	-	已有（词库 7139，模型 7159）
剧透	ju tou	slang	提前说出情节	-	已有（词库 2370，模型 2465）
嘴替	zui ti	slang	替大家说出心里话	200	缺（成分拆不出，无合成次数）
搭子	da zi	slang	只一起做某件事的伙伴	2000	缺（合成 161）
饭搭子	fan da zi	slang	一起吃饭的伙伴	200	缺（成分拆不出，无合成次数）
社牛	she niu	slang	社交毫不怯场	2000	缺（成分拆不出，无合成次数）
社恐	she kong	slang	害怕社交	2000	缺（合成 47）
纯爱战士	chun ai zhan shi	slang	只认真感情的人	200	缺（成分拆不出，无合成次数）
恋爱脑	lian ai nao	slang	恋爱上头不顾一切	2000	缺（合成 33）
牛马	niu ma	slang	被使唤的打工人	-	已有（词库 70，模型 374）
打工人	da gong ren	slang	上班挣钱的人	2000	缺（合成 33）
干饭人	gan fan ren	slang	热爱吃饭的人	200	缺（成分拆不出，无合成次数）
干饭	gan fan	slang	大口吃饭	-	已有（词库 39，模型 26）
小镇做题家	xiao zhen zuo ti jia	slang	靠刷题出头的学生	200	缺（成分拆不出，无合成次数）
工具人	gong ju ren	slang	只被人利用的人	200	缺（合成 127）
背锅侠	bei guo xia	slang	替别人担责的人	200	缺（合成 83）
舔狗	tian gou	slang	一味讨好对方的人，贬义	200	缺（成分拆不出，无合成次数）
绿茶	lv cha	slang	表面无辜实则心机，贬义	-	已有（词库 1474，模型 2069）
普信	pu xin	slang	又普通又自信，贬义	200	缺（合成 23）
凡尔赛	fan er sai	slang	变着法儿炫耀	2990	缺（合成 2990）
老铁	lao tie	slang	铁哥们	-	已有（词库 7235，模型 7311）
家人们	jia ren men	slang	对观众或网友的称呼	2000	缺（合成 345）
姐妹们	jie mei men	slang	女生之间的招呼	703	缺（合成 703）
兄弟们	xiong di men	slang	男生之间的招呼	1065	缺（合成 1065）
大佬	da lao	slang	特别厉害的人	-	已有（词库 10221，模型 10751）
萌新	meng xin	slang	刚入门的新人	-	已有（词库 416，模型 416，来自补充常用词）
老登	lao deng	slang	讨人嫌的老男人，贬义	200	缺（成分拆不出，无合成次数）
乐子人	le zi ren	slang	只图看热闹的人	200	缺（成分拆不出，无合成次数）
懂王	dong wang	slang	自以为什么都懂，贬义	20	缺（成分拆不出，无合成次数）
顶流	ding liu	slang	人气最高的	200	缺（合成 17）
糊了	hu le	slang	不红了	1066	缺（合成 1066）
黑粉	hei fen	slang	专门挑刺的粉丝	200	缺（合成 94）
吃瓜群众	chi gua qun zhong	slang	围观看热闹的人	-	已有（词库 995，模型 998，来自补充常用词）
颜控	yan kong	slang	只看脸的人	-	已有（词库 520，模型 521）
铲屎官	chan shi guan	slang	养猫狗的人自称	200	缺（成分拆不出，无合成次数）
精神小伙	jing shen xiao huo	slang	打扮夸张的小青年	20	缺（成分拆不出，无合成次数）
老六	lao liu	slang	爱阴人的家伙	212	缺（合成 212）
特种兵旅游	te zhong bing lv you	slang	极限赶行程的穷游	200	缺（成分拆不出，无合成次数）
鼠鼠	shu shu	slang	自嘲处境卑微	109	缺（合成 109）
细狗	xi gou	slang	瘦弱没力气的人，贬义	20	缺（合成 18）
白嫖	bai piao	slang	只享受不付钱	2000	缺（成分拆不出，无合成次数）
氪金	ke jin	slang	在游戏里花钱	-	已有（词库 446，模型 453）
搞钱	gao qian	slang	一门心思挣钱	2000	缺（合成 32）
月光族	yue guang zu	slang	工资月月花光	200	缺（合成 138）
精致穷	jing zhi qiong	slang	没钱也要过得精致	20	缺（成分拆不出，无合成次数）
氛围组	fen wei zu	slang	负责烘托气氛的人	20	缺（成分拆不出，无合成次数）
吃瓜	chi gua	slang	围观八卦	-	已有（词库 2270，模型 2293）
冲浪	chong lang	slang	上网闲逛	-	已有（词库 854，模型 2194）
蹲一个	dun yi ge	slang	等着看某个结果	200	缺（合成 20）
蹲后续	dun hou xu	slang	等事情的进展	200	缺（成分拆不出，无合成次数）
蹲点	dun dian	slang	守着等时机	-	已有（词库 521，模型 576）
拉踩	la cai	slang	抬一个踩一个	200	缺（合成 40）
洗白	xi bai	slang	把负面说成正面	-	已有（词库 1541，模型 1642）
塌房	ta fang	slang	喜欢的人形象崩了	2000	缺（成分拆不出，无合成次数）
掉马	diao ma	slang	马甲被扒身份暴露	200	缺（合成 20）
挂人	gua ren	slang	发帖公开指责某人	200	缺（合成 78）
开盒	kai he	slang	扒出并公开他人隐私，贬义	200	缺（合成 15）
拉黑	la hei	slang	把人加进黑名单	-	已有（词库 9183，模型 9260）
上分	shang fen	slang	打游戏涨段位	-	已有（词库 712，模型 1133，来自补充常用词）
整活	zheng huo	slang	搞点花样出来	2000	缺（成分拆不出，无合成次数）
整顿职场	zheng dun zhi chang	slang	年轻人不惯着职场陋习	200	缺（成分拆不出，无合成次数）
种草	zhong cao	slang	被安利得很想买	-	已有（词库 32，模型 84，来自补充常用词）
拔草	ba cao	slang	买了或不想买了	200	缺（合成 16）
安利	an li	slang	热情推荐	-	已有（词库 5872，模型 6464）
踩雷	cai lei	slang	买到或看到很差的	200	缺（合成 144）
避雷	bi lei	slang	提醒别人别踩坑	200	缺（合成 92）
踩坑	cai keng	slang	遇到了坑	200	缺（成分拆不出，无合成次数）
填坑	tian keng	slang	把没做完的补上	200	缺（合成 136）
挖坑	wa keng	slang	留下没解决的事	-	已有（词库 281，模型 340）
剁手	duo shou	slang	忍不住买买买	-	已有（词库 2220，模型 2241）
薅羊毛	hao yang mao	slang	专挑优惠占便宜	2000	缺（合成 30）
砍一刀	kan yi dao	slang	求人帮忙砍价	200	缺（成分拆不出，无合成次数）
性价比	xing jia bi	slang	花的钱值不值	-	已有（词库 1950，模型 2163）
平替	ping ti	slang	便宜的替代品	2000	缺（成分拆不出，无合成次数）
开箱	kai xiang	slang	拆开新买的东西展示	-	已有（词库 258，模型 414）
断舍离	duan she li	slang	扔掉多余的东西	200	缺（合成 1）
冲冲冲	chong chong chong	slang	加油往前干	200	缺（合成 18）
拿下	na xia	slang	搞定了	-	已有（词库 5905，模型 18804）
磕糖	ke tang	slang	看情侣互动觉得甜	200	缺（合成 28）
发糖	fa tang	slang	放出甜蜜互动	-	已有（词库 664，模型 666）
锁死	suo si	slang	认定这一对不许分	412	缺（合成 412）
上车	shang che	life	进到车里	-	已有（词库 7151，模型 11668）
入坑	ru keng	slang	开始喜欢上	-	已有（词库 2214，模型 2251）
退坑	tui keng	slang	不再喜欢了	200	缺（合成 90）
弃坑	qi keng	slang	中途放弃不做了	203	缺（合成 203）
爬墙	pa qiang	slang	转去喜欢别人	-	已有（词库 734，模型 793）
追更	zhui geng	slang	追着看更新	200	缺（合成 37）
催更	cui geng	slang	催作者快更新	-	已有（词库 237，模型 238）
断更	duan geng	slang	停止更新	200	缺（合成 70）
二刷	er shua	slang	再看一遍	767	缺（合成 767）
倍速	bei su	slang	用加速播放	-	已有（词库 55，模型 238，来自补充常用词）
考古	kao gu	slang	翻很久以前的内容	-	已有（词库 4278，模型 21564）
刷屏	shua ping	slang	同样内容反复出现	-	已有（词库 2461，模型 2505）
刷到	shua dao	slang	划手机时看见	2000	缺（合成 1587）
划走	hua zou	slang	不感兴趣直接划过	200	缺（合成 37）
开麦	kai mai	slang	打开麦克风说话	200	缺（合成 175）
闭麦	bi mai	slang	闭嘴别说了	200	缺（合成 54）
连麦	lian mai	slang	和别人连线聊天	-	已有（词库 181，模型 189，来自补充常用词）
上链接	shang lian jie	slang	让主播放购买链接	200	缺（成分拆不出，无合成次数）
下饭	xia fan	slang	适合边吃边看	-	已有（词库 1126，模型 1179）
代餐	dai can	slang	拿相似的凑合替代	200	缺（合成 178）
沉浸式	chen jin shi	slang	完整展示过程的视频	-	已有（词库 87，模型 270）
出圈	chu quan	slang	被圈外人知道	-	已有（词库 65，模型 84）
破圈	po quan	slang	突破原有受众	200	缺（成分拆不出，无合成次数）
翻红	fan hong	slang	重新火起来	200	缺（合成 78）
过气	guo qi	slang	不流行了	-	已有（词库 1996，模型 2247）
糊穿地心	hu chuan di xin	slang	彻底不红了	20	缺（成分拆不出，无合成次数）
带货	dai huo	slang	直播卖东西	-	已有（词库 105，模型 177，来自补充常用词）
限流	xian liu	slang	内容被平台少推	-	已有（词库 353，模型 547）
起号	qi hao	slang	把账号做起来	200	缺（成分拆不出，无合成次数）
涨粉	zhang fen	slang	粉丝变多	-	已有（词库 20，模型 15，来自补充常用词）
掉粉	diao fen	slang	粉丝变少	200	缺（成分拆不出，无合成次数）
出片	chu pian	slang	拍出好照片	-	已有（词库 232，模型 298，来自补充常用词）
摆拍	bai pai	slang	摆好姿势假装抓拍	-	已有（词库 1190，模型 1235）
云吸猫	yun xi mao	slang	看别人的猫过瘾	200	缺（合成 67）
吸猫	xi mao	slang	撸猫上瘾	-	已有（词库 774，模型 775）
比心	bi xin	slang	用手比出心形	-	已有（词库 2865，模型 2876）
爆肝	bao gan	slang	熬夜拼命做	214	缺（合成 214）
肝不动	gan bu dong	slang	没力气再熬了	200	缺（成分拆不出，无合成次数）
手残	shou can	slang	手笨操作不好	-	已有（词库 1222，模型 1228）
手速	shou su	slang	操作的快慢	-	已有（词库 955，模型 980）
秒懂	miao dong	slang	一下就明白	-	已有（词库 526，模型 533）
秒回	miao hui	slang	立刻回消息	-	已有（词库 2710，模型 2717）
已读不回	yi du bu hui	slang	看了不回复	2000	缺（成分拆不出，无合成次数）
已读乱回	yi du luan hui	slang	看了瞎回一通	200	缺（成分拆不出，无合成次数）
鸽了	ge le	slang	放人鸽子	2000	缺（合成 93）
咕咕咕	gu gu gu	slang	又要放鸽子了	251	缺（合成 251）
尬聊	ga liao	slang	聊不下去硬聊	-	已有（词库 1222，模型 1223）
尬住	ga zhu	slang	当场僵住	200	缺（成分拆不出，无合成次数）
尴尬癌	gan ga ai	slang	尴尬到受不了	200	缺（合成 122）
闭环	bi huan	work	互联网黑话，事情有始有终	-	已有（词库 552，模型 1437）
颗粒度	ke li du	work	互联网黑话，指粗细程度	2000	缺（合成 21）
赋能	fu neng	work	互联网黑话，给别人提供能力	-	已有（词库 20，模型 53，来自补充常用词）
抓手	zhua shou	work	互联网黑话，指切入点	2000	缺（合成 49）
复盘	fu pan	slang	事后回顾总结	-	已有（词库 71，模型 94，来自补充常用词）
干就完了	gan jiu wan le	slang	别想太多直接做	200	缺（成分拆不出，无合成次数）
溜了溜了	liu le liu le	slang	我先走了	200	缺（成分拆不出，无合成次数）
退退退	tui tui tui	slang	把晦气赶走	20	缺（成分拆不出，无合成次数）
上桌	shang zhuo	slang	争取到话语权	-	已有（词库 267，模型 423，来自补充常用词）
吃席	chi xi	slang	幸灾乐祸地围观	36	缺（合成 36）
断亲	duan qin	slang	年轻人疏远亲戚	20	缺（成分拆不出，无合成次数）
狗头	gou tou	slang	表示这是玩笑	-	已有（词库 2107，模型 2298）
狗头保命	gou tou bao ming	slang	开玩笑求别当真	27	缺（合成 27）
救命	jiu ming	slang	夸张地表示受不了	-	已有（词库 1299，模型 2085）
啊这	a zhe	slang	一时无语的反应	2885	缺（合成 2885）
天塌了	tian ta le	slang	出大事了	2000	缺（合成 83）
塌了	ta le	slang	崩了完了	573	缺（合成 573）
我哭死	wo ku si	slang	太感动或太难过	200	缺（合成 44）
我悟了	wo wo le	slang	突然想明白了	200	缺（成分拆不出，无合成次数）
悟了	wu le	slang	明白过来了	200	缺（合成 56）
主打一个	zhu da yi ge	slang	强调就图这个	2000	缺（成分拆不出，无合成次数）
真的会谢	zhen de hui xie	slang	无语到只能道谢	200	缺（成分拆不出，无合成次数）
求求了	qiu qiu le	slang	带撒娇的恳求	200	缺（合成 17）
拿来吧你	na lai ba ni	slang	索要东西的玩笑话	20	缺（合成 1）
谁懂啊	shui dong a	slang	求共鸣的开场	200	缺（合成 2）
家人们谁懂啊	jia ren men shui dong a	slang	网上诉苦的开场白	200	缺（成分拆不出，无合成次数）
太牛了	tai niu le	slang	特别厉害	200	缺（合成 22）
牛啊	niu a	slang	厉害的赞叹	660	缺（合成 660）
奥利给	ao li gei	slang	加油打气	200	缺（成分拆不出，无合成次数）
起飞	qi fei	slang	状态或热度猛涨	-	已有（词库 4008，模型 11489）
双厨狂喜	shuang chu kuang xi	slang	两个爱好撞一起太高兴	20	缺（成分拆不出，无合成次数）
心巴	xin ba	slang	可爱到心里一颤	20	缺（成分拆不出，无合成次数）
yyds	y y d s	mixed	永远的神，夸到顶	8000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
xswl	x s w l	mixed	笑死我了	2000	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
nbcs	n b c s	mixed	没人在乎	300	缺（中英混杂，走 mixed_words.tsv，次数按那份的尺度）
