# 词	编码	人工权重	分类	类型	实体	来源	核对日期
不确定性估计	bu que ding xing gu ji	20	评估	term	不确定性估计	curated	2026-09-17
专家容量	zhuan jia rong liang	20	架构	term	专家容量	curated	2026-09-17
专家并行	zhuan jia bing xing	20	架构	term	专家并行	curated	2026-09-17
专家网络	zhuan jia wang luo	20	架构	term	专家网络	curated	2026-09-17
专家路由	zhuan jia lu you	20	架构	term	专家路由	curated	2026-09-17
世界建模	shi jie jian mo	20	强化	term	世界建模	curated	2026-09-17
世界模型	shi jie mo xing	20	架构	term	世界模型	curated	2026-09-17
个人信息识别	ge ren xin xi shi bie	20	数据	term	个人信息识别	curated	2026-09-17
个人知识库	ge ren zhi shi ku	20	检索	term	个人知识库	curated	2026-09-17
个体公平	ge ti gong ping	20	安全	term	个体公平	curated	2026-09-17
中心极限定理	zhong xin ji xian ding li	20	数学	term	中心极限定理	curated	2026-09-17
中心词	zhong xin ci	20	教材术语	term	中心词	d2l	2026-09-17
中文评测	zhong wen ping ce	20	评估	term	中文评测	curated	2026-09-17
中文语料	zhong wen yu liao	20	数据	term	中文语料	curated	2026-09-17
中间融合	zhong jian rong he	20	视觉	term	中间融合	curated	2026-09-17
串行工具调用	chuan xing gong ju diao yong	20	智能体	term	串行工具调用	curated	2026-09-17
主动学习	zhu dong xue xi	20	基础	term	主动学习	curated	2026-09-17
主成分分析	zhu cheng fen fen xi	20	算法	term	主成分分析	curated	2026-09-17
主观性分析	zhu guan xing fen xi	20	专项任务	term	主观性分析	glossary	2026-09-17
主题模型	zhu ti mo xing	20	算法	term	主题模型	curated	2026-09-17
乘法法则	cheng fa fa ze	20	教材术语	term	乘法法则	d2l	2026-09-17
乘积量化	cheng ji liang hua	20	检索	term	乘积量化	curated	2026-09-17
乳房肿瘤分类	ru fang zhong liu fen lei	20	专项任务	term	乳房肿瘤分类	glossary	2026-09-17
事件数据分类	shi jian shu ju fen lei	20	专项任务	term	事件数据分类	glossary	2026-09-17
事件检测	shi jian jian ce	20	专项任务	term	事件检测	glossary	2026-09-17
事实一致性	shi shi yi zhi xing	20	评估	term	事实一致性	curated	2026-09-17
事实准确率	shi shi zhun que lv	20	评估	term	事实准确率	curated	2026-09-17
事实幻觉	shi shi huan jue	20	评估	term	事实幻觉	curated	2026-09-17
事实核查	shi shi he cha	20	检索	term	事实核查	curated	2026-09-17
事实问答	shi shi wen da	20	提示	term	事实问答	curated	2026-09-17
事实验证	shi shi yan zheng	20	专项任务	term	事实验证	glossary	2026-09-17
事故报告	shi gu bao gao	20	安全	term	事故报告	curated	2026-09-17
二值量化	er zhi liang hua	20	检索	term	二值量化	curated	2026-09-17
二元语法	er yuan yu fa	20	教材术语	term	二元语法	d2l	2026-09-17
二次判别分析	er ci pan bie fen xi	20	算法	term	二次判别分析	curated	2026-09-17
二维卷积	er wei juan ji	20	架构	term	二维卷积	curated	2026-09-17
二项分布	er xiang fen bu	20	数学	term	二项分布	curated	2026-09-17
二项分类	er xiang fen lei	20	教材术语	term	二项分类	d2l	2026-09-17
云端推理	yun duan tui li	20	推理	term	云端推理	curated	2026-09-17
云端模式	yun duan mo shi	20	工程	term	云端模式	curated	2026-09-17
互信息	hu xin xi	20	数学	term	互信息	curated	2026-09-17
互相关	hu xiang guan	20	教材术语	term	互相关	d2l	2026-09-17
互相关运算	hu xiang guan yun suan	20	教材术语	term	互相关运算	d2l	2026-09-17
亚马逊	ya ma xun	20	教材术语	term	亚马逊	d2l	2026-09-17
交互环境	jiao hu huan jing	20	智能体	term	交互环境	curated	2026-09-17
交叉注意力	jiao cha zhu yi li	20	架构	term	交叉注意力	curated	2026-09-17
交叉熵	jiao cha shang	20	数学	term	交叉熵	curated	2026-09-17
交叉熵损失	jiao cha shang sun shi	20	教材术语	term	交叉熵损失	d2l	2026-09-17
交叉编码器	jiao cha bian ma qi	20	检索	term	交叉编码器	curated	2026-09-17
交叉验证	jiao cha yan zheng	20	数据	term	交叉验证	curated	2026-09-17
交并比	jiao bing bi	20	教材术语	term	交并比	d2l	2026-09-17
交换归约	jiao huan gui yue	20	教材术语	term	交换归约	d2l	2026-09-17
交通标志检测	jiao tong biao zhi jian ce	20	专项任务	term	交通标志检测	glossary	2026-09-17
交通标志识别	jiao tong biao zhi shi bie	20	专项任务	term	交通标志识别	glossary	2026-09-17
交通流量预测	jiao tong liu liang yu ce	20	专项任务	term	交通流量预测	glossary	2026-09-17
产品量化	chan pin liang hua	20	检索	term	产品量化	curated	2026-09-17
人体姿态	ren ti zi tai	20	视觉	term	人体姿态	curated	2026-09-17
人体姿态估计	ren ti zi tai gu ji	20	专项任务	term	人体姿态估计	glossary	2026-09-17
人口统计均等	ren kou tong ji jun deng	20	安全	term	人口统计均等	curated	2026-09-17
人在回路	ren zai hui lu	20	智能体	term	人在回路	curated	2026-09-17
人工介入	ren gong jie ru	20	智能体	term	人工介入	curated	2026-09-17
人工智能	ren gong zhi neng	20	基础	term	人工智能	curated	2026-09-17
人工智能伦理	ren gong zhi neng lun li	20	基础	term	人工智能伦理	curated	2026-09-17
人工智能反馈强化学习	ren gong zhi neng fan kui qiang hua xue xi	20	训练	term	人工智能反馈强化学习	curated	2026-09-17
人工智能安全	ren gong zhi neng an quan	20	基础	term	人工智能安全	curated	2026-09-17
人工智能工程	ren gong zhi neng gong cheng	20	工程	term	人工智能工程	curated	2026-09-17
人工智能治理	ren gong zhi neng zhi li	20	基础	term	人工智能治理	curated	2026-09-17
人工标注	ren gong biao zhu	20	数据	term	人工标注	curated	2026-09-17
人工确认	ren gong que ren	20	智能体	term	人工确认	curated	2026-09-17
人工神经元	ren gong shen jing yuan	20	架构	term	人工神经元	curated	2026-09-17
人工评测	ren gong ping ce	20	评估	term	人工评测	curated	2026-09-17
人机交互	ren ji jiao hu	20	基础	term	人机交互	curated	2026-09-17
人机协同	ren ji xie tong	20	基础	term	人机协同	curated	2026-09-17
人类反馈强化学习	ren lei fan kui qiang hua xue xi	20	训练	term	人类反馈强化学习	curated	2026-09-17
人类对齐	ren lei dui qi	20	安全	term	人类对齐	curated	2026-09-17
人类监督	ren lei jian du	20	智能体	term	人类监督	curated	2026-09-17
人群计数	ren qun ji shu	20	专项任务	term	人群计数	glossary	2026-09-17
人脸呈现攻击检测	ren lian cheng xian gong ji jian ce	20	专项任务	term	人脸呈现攻击检测	glossary	2026-09-17
人脸对齐	ren lian dui qi	20	视觉	term	人脸对齐	curated	2026-09-17
人脸检测	ren lian jian ce	20	视觉	term	人脸检测	curated	2026-09-17
人脸生成	ren lian sheng cheng	20	视觉	term	人脸生成	curated	2026-09-17
人脸编辑	ren lian bian ji	20	视觉	term	人脸编辑	curated	2026-09-17
人脸识别	ren lian shi bie	20	视觉	term	人脸识别	curated	2026-09-17
人脸防伪	ren lian fang wei	20	专项任务	term	人脸防伪	glossary	2026-09-17
人脸验证	ren lian yan zheng	20	视觉	term	人脸验证	curated	2026-09-17
仇恨言论检测	chou hen yan lun jian ce	20	专项任务	term	仇恨言论检测	glossary	2026-09-17
从零训练	cong ling xun lian	20	训练	term	从零训练	curated	2026-09-17
代价函数	dai jia han shu	20	数学	term	代价函数	curated	2026-09-17
代码修复	dai ma xiu fu	20	提示	term	代码修复	curated	2026-09-17
代码审查	dai ma shen cha	20	提示	term	代码审查	curated	2026-09-17
代码幻觉	dai ma huan jue	20	评估	term	代码幻觉	curated	2026-09-17
代码智能体	dai ma zhi neng ti	20	智能体	term	代码智能体	curated	2026-09-17
代码生成	dai ma sheng cheng	20	提示	term	代码生成	curated	2026-09-17
代码补全	dai ma bu quan	20	提示	term	代码补全	curated	2026-09-17
代码解释	dai ma jie shi	20	提示	term	代码解释	curated	2026-09-17
代码评测	dai ma ping ce	20	评估	term	代码评测	curated	2026-09-17
代码语料	dai ma yu liao	20	数据	term	代码语料	curated	2026-09-17
代码通过率	dai ma tong guo lv	20	评估	term	代码通过率	curated	2026-09-17
令牌桶	ling pai tong	20	工程	term	令牌桶	curated	2026-09-17
价值函数	jia zhi han shu	20	强化	term	价值函数	curated	2026-09-17
价值对齐	jia zhi dui qi	20	安全	term	价值对齐	curated	2026-09-17
价值模型	jia zhi mo xing	20	训练	term	价值模型	curated	2026-09-17
价值迭代	jia zhi die dai	20	强化	term	价值迭代	curated	2026-09-17
价值预测	jia zhi yu ce	20	专项任务	term	价值预测	glossary	2026-09-17
任务优先级	ren wu you xian ji	20	智能体	term	任务优先级	curated	2026-09-17
任务依赖	ren wu yi lai	20	智能体	term	任务依赖	curated	2026-09-17
任务分解	ren wu fen jie	20	智能体	term	任务分解	curated	2026-09-17
任务委派	ren wu wei pai	20	智能体	term	任务委派	curated	2026-09-17
任务恢复	ren wu hui fu	20	智能体	term	任务恢复	curated	2026-09-17
任务成功率	ren wu cheng gong lv	20	评估	term	任务成功率	curated	2026-09-17
任务描述	ren wu miao shu	20	提示	term	任务描述	curated	2026-09-17
任务智能体	ren wu zhi neng ti	20	智能体	term	任务智能体	curated	2026-09-17
任务检查点	ren wu jian cha dian	20	智能体	term	任务检查点	curated	2026-09-17
任务状态	ren wu zhuang tai	20	智能体	term	任务状态	curated	2026-09-17
任务编排	ren wu bian pai	20	智能体	term	任务编排	curated	2026-09-17
任务规划	ren wu gui hua	20	智能体	term	任务规划	curated	2026-09-17
任务调度	ren wu diao du	20	智能体	term	任务调度	curated	2026-09-17
任务迁移	ren wu qian yi	20	基础	term	任务迁移	curated	2026-09-17
任务队列	ren wu dui lie	20	智能体	term	任务队列	curated	2026-09-17
仿射函数	fang she han shu	20	教材术语	term	仿射函数	d2l	2026-09-17
仿射变换	fang she bian huan	20	教材术语	term	仿射变换	d2l	2026-09-17
仿真到现实	fang zhen dao xian shi	20	强化	term	仿真到现实	curated	2026-09-17
仿真环境	fang zhen huan jing	20	强化	term	仿真环境	curated	2026-09-17
企业知识库	qi ye zhi shi ku	20	检索	term	企业知识库	curated	2026-09-17
众包标注	zhong bao biao zhu	20	数据	term	众包标注	curated	2026-09-17
众包评测	zhong bao ping ce	20	评估	term	众包评测	curated	2026-09-17
优先经验回放	you xian jing yan hui fang	20	强化	term	优先经验回放	curated	2026-09-17
优势估计	you shi gu ji	20	强化	term	优势估计	curated	2026-09-17
优势函数	you shi han shu	20	强化	term	优势函数	curated	2026-09-17
优势演员评论家	you shi yan yuan ping lun jia	20	强化	term	优势演员评论家	curated	2026-09-17
优化器状态	you hua qi zhuang tai	20	训练	term	优化器状态	curated	2026-09-17
优化目标	you hua mu biao	20	数学	term	优化目标	curated	2026-09-17
会话协议	hui hua xie yi	20	工程	term	会话协议	curated	2026-09-17
会话恢复	hui hua hui fu	20	智能体	term	会话恢复	curated	2026-09-17
会话成本	hui hua cheng ben	20	工程	term	会话成本	curated	2026-09-17
会话状态	hui hua zhuang tai	20	智能体	term	会话状态	curated	2026-09-17
会话记忆	hui hua ji yi	20	智能体	term	会话记忆	curated	2026-09-17
伪造检测	wei zao jian ce	20	安全	term	伪造检测	curated	2026-09-17
伯努利分布	bo nu li fen bu	20	数学	term	伯努利分布	curated	2026-09-17
伯努利朴素贝叶斯	bo nu li pu su bei ye si	20	算法	term	伯努利朴素贝叶斯	curated	2026-09-17
估计值	gu ji zhi	20	教材术语	term	估计值	d2l	2026-09-17
伴奏生成	ban zou sheng cheng	20	语音	term	伴奏生成	curated	2026-09-17
似然函数	si ran han shu	20	数学	term	似然函数	curated	2026-09-17
伽马分布	ga ma fen bu	20	数学	term	伽马分布	curated	2026-09-17
位置偏差	wei zhi pian cha	20	评估	term	位置偏差	curated	2026-09-17
位置嵌入	wei zhi qian ru	20	架构	term	位置嵌入	curated	2026-09-17
位置插值	wei zhi cha zhi	20	架构	term	位置插值	curated	2026-09-17
位置编码	wei zhi bian ma	20	架构	term	位置编码	curated	2026-09-17
低光图像增强	di guang tu xiang zeng qiang	20	专项任务	term	低光图像增强	glossary	2026-09-17
低比特量化	di bi te liang hua	20	推理	term	低比特量化	curated	2026-09-17
低秩微调	di zhi wei tiao	20	训练	term	低秩微调	curated	2026-09-17
低秩矩阵	di zhi ju zhen	20	数学	term	低秩矩阵	curated	2026-09-17
低秩适配	di zhi shi pei	20	训练	term	低秩适配	curated	2026-09-17
低资源语音	di zi yuan yu yin	20	语音	term	低资源语音	curated	2026-09-17
体渲染	ti xuan ran	20	视觉	term	体渲染	curated	2026-09-17
体素	ti su	20	视觉	term	体素	curated	2026-09-17
体素化	ti su hua	20	视觉	term	体素化	curated	2026-09-17
余弦相似度	yu xian xiang si du	20	数学	term	余弦相似度	curated	2026-09-17
余弦退火	yu xian tui huo	20	训练	term	余弦退火	curated	2026-09-17
供应链安全	gong ying lian an quan	20	安全	term	供应链安全	curated	2026-09-17
依存句法分析	yi cun ju fa fen xi	20	专项任务	term	依存句法分析	glossary	2026-09-17
依赖锁定	yi lai suo ding	20	工程	term	依赖锁定	curated	2026-09-17
信任边界	xin ren bian jie	20	安全	term	信任边界	curated	2026-09-17
信噪比	xin zao bi	20	语音	term	信噪比	curated	2026-09-17
信念传播	xin nian chuan bo	20	算法	term	信念传播	curated	2026-09-17
信息增益	xin xi zeng yi	20	数学	term	信息增益	curated	2026-09-17
信息抽取	xin xi chou qu	20	提示	term	信息抽取	curated	2026-09-17
信息提取	xin xi ti qu	20	专项任务	term	信息提取	glossary	2026-09-17
信息熵	xin xi shang	20	数学	term	信息熵	curated	2026-09-17
信息瓶颈	xin xi ping jing	20	数学	term	信息瓶颈	curated	2026-09-17
信息矩阵	xin xi ju zhen	20	数学	term	信息矩阵	curated	2026-09-17
信息论	xin xi lun	20	教材术语	term	信息论	d2l	2026-09-17
信赖域策略优化	xin lai yu ce lve you hua	20	强化	term	信赖域策略优化	curated	2026-09-17
修正线性单元	xiu zheng xian xing dan yuan	20	教材术语	term	修正线性单元	d2l	2026-09-17
倒排索引	dao pai suo yin	20	检索	term	倒排索引	curated	2026-09-17
候选召回	hou xuan zhao hui	20	检索	term	候选召回	curated	2026-09-17
候选概率	hou xuan gai lv	20	提示	term	候选概率	curated	2026-09-17
候选记忆元	hou xuan ji yi yuan	20	教材术语	term	候选记忆元	d2l	2026-09-17
候选隐状态	hou xuan yin zhuang tai	20	教材术语	term	候选隐状态	d2l	2026-09-17
倾向评分	qing xiang ping fen	20	基础	term	倾向评分	curated	2026-09-17
假新闻检测	jia xin wen jian ce	20	专项任务	term	假新闻检测	glossary	2026-09-17
假设文档嵌入	jia she wen dang qian ru	20	检索	term	假设文档嵌入	curated	2026-09-17
假阳性	jia yang xing	20	评估	term	假阳性	curated	2026-09-17
假阳性率	jia yang xing lv	20	评估	term	假阳性率	curated	2026-09-17
假阴性	jia yin xing	20	评估	term	假阴性	curated	2026-09-17
假阴性率	jia yin xing lv	20	评估	term	假阴性率	curated	2026-09-17
偏好优化	pian hao you hua	20	训练	term	偏好优化	curated	2026-09-17
偏好对齐	pian hao dui qi	20	安全	term	偏好对齐	curated	2026-09-17
偏好数据	pian hao shu ju	20	数据	term	偏好数据	curated	2026-09-17
偏好标注	pian hao biao zhu	20	数据	term	偏好标注	curated	2026-09-17
偏好模型	pian hao mo xing	20	训练	term	偏好模型	curated	2026-09-17
偏导数	pian dao shu	20	数学	term	偏导数	curated	2026-09-17
偏移参数	pian yi can shu	20	教材术语	term	偏移参数	d2l	2026-09-17
偏移量	pian yi liang	20	教材术语	term	偏移量	d2l	2026-09-17
偏置初始化	pian zhi chu shi hua	20	架构	term	偏置初始化	curated	2026-09-17
偏置检测	pian zhi jian ce	20	专项任务	term	偏置检测	glossary	2026-09-17
偏见检测	pian jian jian ce	20	安全	term	偏见检测	curated	2026-09-17
偏见缓解	pian jian huan jie	20	安全	term	偏见缓解	curated	2026-09-17
停止序列	ting zhi xu lie	20	提示	term	停止序列	curated	2026-09-17
停止条件	ting zhi tiao jian	20	智能体	term	停止条件	curated	2026-09-17
停止标记	ting zhi biao ji	20	提示	term	停止标记	curated	2026-09-17
停止词	ting zhi ci	20	提示	term	停止词	curated	2026-09-17
停留时间预测	ting liu shi jian yu ce	20	专项任务	term	停留时间预测	glossary	2026-09-17
健康检查	jian kang jian cha	20	工程	term	健康检查	curated	2026-09-17
元学习	yuan xue xi	20	基础	term	元学习	curated	2026-09-17
元数据过滤	yuan shu ju guo lv	20	检索	term	元数据过滤	curated	2026-09-17
充血性心力衰竭检测	chong xue xing xin li shuai jie jian ce	20	专项任务	term	充血性心力衰竭检测	glossary	2026-09-17
先验分布	xian yan fen bu	20	数学	term	先验分布	curated	2026-09-17
光学字符识别	guang xue zi fu shi bie	20	视觉	term	光学字符识别	curated	2026-09-17
光流估计	guang liu gu ji	20	视觉	term	光流估计	curated	2026-09-17
光滑函数	guang hua han shu	20	数学	term	光滑函数	curated	2026-09-17
入侵检测	ru qin jian ce	20	专项任务	term	入侵检测	glossary	2026-09-17
全分片数据并行	quan fen pian shu ju bing xing	20	训练	term	全分片数据并行	curated	2026-09-17
全卷积网络	quan juan ji wang luo	20	教材术语	term	全卷积网络	d2l	2026-09-17
全变分去噪	quan bian fen qu zao	20	教材术语	term	全变分去噪	d2l	2026-09-17
全变分损失	quan bian fen sun shi	20	教材术语	term	全变分损失	d2l	2026-09-17
全导数	quan dao shu	20	数学	term	全导数	curated	2026-09-17
全局优化	quan ju you hua	20	数学	term	全局优化	curated	2026-09-17
全局向量	quan ju xiang liang	20	教材术语	term	全局向量	d2l	2026-09-17
全局平均汇聚层	quan ju ping jun hui ju ceng	20	教材术语	term	全局平均汇聚层	d2l	2026-09-17
全局检索	quan ju jian suo	20	检索	term	全局检索	curated	2026-09-17
全局池化	quan ju chi hua	20	架构	term	全局池化	curated	2026-09-17
全局注意力	quan ju zhu yi li	20	架构	term	全局注意力	curated	2026-09-17
全批量训练	quan pi liang xun lian	20	训练	term	全批量训练	curated	2026-09-17
全文检索	quan wen jian suo	20	检索	term	全文检索	curated	2026-09-17
全景分割	quan jing fen ge	20	视觉	term	全景分割	curated	2026-09-17
全概率公式	quan gai lv gong shi	20	数学	term	全概率公式	curated	2026-09-17
全连接层	quan lian jie ceng	20	架构	term	全连接层	curated	2026-09-17
全连接网络	quan lian jie wang luo	20	架构	term	全连接网络	curated	2026-09-17
全量微调	quan liang wei tiao	20	训练	term	全量微调	curated	2026-09-17
公平性	gong ping xing	20	安全	term	公平性	curated	2026-09-17
公式识别	gong shi shi bie	20	视觉	term	公式识别	curated	2026-09-17
共享专家	gong xiang zhuan jia	20	架构	term	共享专家	curated	2026-09-17
共享记忆	gong xiang ji yi	20	智能体	term	共享记忆	curated	2026-09-17
关系分类	guan xi fen lei	20	专项任务	term	关系分类	glossary	2026-09-17
关系抽取	guan xi chou qu	20	检索	term	关系抽取	curated	2026-09-17
关系抽取任务	guan xi chou qu ren wu	20	专项任务	term	关系抽取任务	glossary	2026-09-17
关系推理	guan xi tui li	20	专项任务	term	关系推理	glossary	2026-09-17
关系蒸馏	guan xi zheng liu	20	训练	term	关系蒸馏	curated	2026-09-17
关系预测	guan xi yu ce	20	检索	term	关系预测	curated	2026-09-17
关键点检测	guan jian dian jian ce	20	视觉	term	关键点检测	curated	2026-09-17
关键词唤醒	guan jian ci huan xing	20	语音	term	关键词唤醒	curated	2026-09-17
关键词检索	guan jian ci jian suo	20	检索	term	关键词检索	curated	2026-09-17
兴趣区域对齐	xing qu qu yu dui qi	20	教材术语	term	兴趣区域对齐	d2l	2026-09-17
兴趣区域汇聚层	xing qu qu yu hui ju ceng	20	教材术语	term	兴趣区域汇聚层	d2l	2026-09-17
具身导航	ju shen dao hang	20	强化	term	具身导航	curated	2026-09-17
具身推理	ju shen tui li	20	强化	term	具身推理	curated	2026-09-17
具身操作	ju shen cao zuo	20	强化	term	具身操作	curated	2026-09-17
具身智能	ju shen zhi neng	20	强化	term	具身智能	curated	2026-09-17
典型相关分析	dian xing xiang guan fen xi	20	算法	term	典型相关分析	curated	2026-09-17
内在动机	nei zai dong ji	20	强化	term	内在动机	curated	2026-09-17
内在奖励	nei zai jiang li	20	强化	term	内在奖励	curated	2026-09-17
内存卸载	nei cun xie zai	20	推理	term	内存卸载	curated	2026-09-17
内存带宽	nei cun dai kuan	20	推理	term	内存带宽	curated	2026-09-17
内容一致性	nei rong yi zhi xing	20	视觉	term	内容一致性	curated	2026-09-17
内容图像	nei rong tu xiang	20	教材术语	term	内容图像	d2l	2026-09-17
内容安全	nei rong an quan	20	安全	term	内容安全	curated	2026-09-17
内容审查	nei rong shen cha	20	安全	term	内容审查	curated	2026-09-17
内容审核	nei rong shen he	20	安全	term	内容审核	curated	2026-09-17
内容层	nei rong ceng	20	教材术语	term	内容层	d2l	2026-09-17
内容拒绝	nei rong ju jue	20	提示	term	内容拒绝	curated	2026-09-17
内容损失	nei rong sun shi	20	教材术语	term	内容损失	d2l	2026-09-17
内容推荐	nei rong tui jian	20	算法	term	内容推荐	curated	2026-09-17
内容溯源	nei rong su yuan	20	安全	term	内容溯源	curated	2026-09-17
内容生成	nei rong sheng cheng	20	提示	term	内容生成	curated	2026-09-17
内容过滤	nei rong guo lv	20	数据	term	内容过滤	curated	2026-09-17
内插法	nei cha fa	20	教材术语	term	内插法	d2l	2026-09-17
内核优化	nei he you hua	20	推理	term	内核优化	curated	2026-09-17
内核融合	nei he rong he	20	推理	term	内核融合	curated	2026-09-17
内置工具	nei zhi gong ju	20	智能体	term	内置工具	curated	2026-09-17
内部协变量偏移	nei bu xie bian liang pian yi	20	教材术语	term	内部协变量偏移	d2l	2026-09-17
内部协变量转移	nei bu xie bian liang zhuan yi	20	教材术语	term	内部协变量转移	d2l	2026-09-17
内部注意力	nei bu zhu yi li	20	教材术语	term	内部注意力	d2l	2026-09-17
决策树	jue ce shu	20	算法	term	决策树	curated	2026-09-17
决策策略	jue ce ce lve	20	智能体	term	决策策略	curated	2026-09-17
准确率	zhun que lv	20	评估	term	准确率	curated	2026-09-17
凝聚聚类	ning ju ju lei	20	算法	term	凝聚聚类	curated	2026-09-17
凝视估计	ning shi gu ji	20	专项任务	term	凝视估计	glossary	2026-09-17
凭证管理	ping zheng guan li	20	工程	term	凭证管理	curated	2026-09-17
凸优化	tu you hua	20	数学	term	凸优化	curated	2026-09-17
凸函数	tu han shu	20	数学	term	凸函数	curated	2026-09-17
凸问题	tu wen ti	20	教材术语	term	凸问题	d2l	2026-09-17
凸集	tu ji	20	数学	term	凸集	curated	2026-09-17
函数调用	han shu diao yong	20	智能体	term	函数调用	curated	2026-09-17
分位数回归	fen wei shu hui gui	20	算法	term	分位数回归	curated	2026-09-17
分块大小	fen kuai da xiao	20	检索	term	分块大小	curated	2026-09-17
分块重叠	fen kuai chong die	20	检索	term	分块重叠	curated	2026-09-17
分层划分	fen ceng hua fen	20	数据	term	分层划分	curated	2026-09-17
分层强化学习	fen ceng qiang hua xue xi	20	强化	term	分层强化学习	curated	2026-09-17
分层检索	fen ceng jian suo	20	检索	term	分层检索	curated	2026-09-17
分层索引	fen ceng suo yin	20	检索	term	分层索引	curated	2026-09-17
分层采样	fen ceng cai yang	20	数学	term	分层采样	curated	2026-09-17
分布偏移	fen bu pian yi	20	基础	term	分布偏移	curated	2026-09-17
分布内数据	fen bu nei shu ju	20	基础	term	分布内数据	curated	2026-09-17
分布外数据	fen bu wai shu ju	20	基础	term	分布外数据	curated	2026-09-17
分布外检测	fen bu wai jian ce	20	基础	term	分布外检测	curated	2026-09-17
分布式学习	fen bu shi xue xi	20	基础	term	分布式学习	curated	2026-09-17
分布式训练	fen bu shi xun lian	20	训练	term	分布式训练	curated	2026-09-17
分布式追踪	fen bu shi zhui zong	20	工程	term	分布式追踪	curated	2026-09-17
分布距离	fen bu ju li	20	数学	term	分布距离	curated	2026-09-17
分数匹配	fen shu pi pei	20	架构	term	分数匹配	curated	2026-09-17
分数网络	fen shu wang luo	20	架构	term	分数网络	curated	2026-09-17
分段常数	fen duan chang shu	20	教材术语	term	分段常数	d2l	2026-09-17
分片训练	fen pian xun lian	20	训练	term	分片训练	curated	2026-09-17
分离式推理	fen li shi tui li	20	推理	term	分离式推理	curated	2026-09-17
分离梯度	fen li ti du	20	教材术语	term	分离梯度	d2l	2026-09-17
分类一致性	fen lei yi zhi xing	20	专项任务	term	分类一致性	glossary	2026-09-17
分类器引导	fen lei qi yin dao	20	视觉	term	分类器引导	curated	2026-09-17
分类树	fen lei shu	20	算法	term	分类树	curated	2026-09-17
分组卷积	fen zu juan ji	20	架构	term	分组卷积	curated	2026-09-17
分组查询注意力	fen zu cha xun zhu yi li	20	架构	term	分组查询注意力	curated	2026-09-17
